pc,beta,pos_contrib,neg_contrib,pos_frac,neg_frac,best_tissue
PC50,-0.0672024219950928,2.76461020627145e-05,-6.98302137268923e-05,0.000864198349509625,0.00271434349038212,"common myeloid progenitor, CD34-positive"
PC51,0.0163400861544381,1.09068609475289e-06,-8.23719114153678e-06,3.40941055914627e-05,0.000320184701732527,upper lobe of left lung
PC52,-0.0247407725611706,6.7415015453902e-06,-1.08170298641904e-05,0.000210734753692461,0.000420464624553009,left forelimb
PC53,0.0420468344002342,2.627986440408e-05,-1.6821534730589e-05,0.000821490689422445,0.000653863433280986,B cell
PC54,0.00766671779300223,1.91758545679078e-06,-8.31840128421455e-07,5.9942417308704e-05,3.2334139008225e-05,"CD4-positive, alpha-beta T cell"
PC55,-0.0198098779986229,4.41156972012799e-06,-1.63663178863702e-05,0.000137902669325055,0.000636168873693212,esophagus squamous epithelium
PC56,0.0398887007659262,2.84892448714646e-05,-3.90192001679666e-05,0.000890554420324593,0.00151670038402087,pancreas
PC57,0.00517460926842079,1.02078048160575e-06,-7.03707371987918e-07,3.19089036644e-05,2.73535397121907e-05,cerebellum
PC58,0.0161298244520206,5.88271113592708e-07,-3.30948007031675e-06,1.8388954952049e-05,0.000128641532167532,occipital lobe
PC59,-0.00809558180594632,-3.80587751854135e-06,1.29236581956561e-06,-0.000118969143009678,-5.02350567513633e-05,placenta
PC60,0.0303645640607783,1.76503538216787e-05,-8.19551517150406e-06,0.000551738057189895,0.000318564731064728,germinal center
PC61,-0.13235934283864,0.000197856802952518,-0.000249074911602,0.00618486910606553,0.00968169548454394,thymus
PC62,-0.0586481264913871,4.2085882786258e-05,-3.39393208449783e-05,0.00131557607502982,0.00131924234062711,CD14-positive monocyte
PC63,-0.0610615783139132,2.79240203923395e-05,-4.08485623161171e-05,0.000872885887492937,0.00158780881937242,cerebellum
PC64,0.0788205576732274,8.14163696801598e-05,-0.000121736840030513,0.00254502034829539,0.00473198607939043,trophoblast cell
PC65,0.0566945039718922,3.95132777825806e-05,-4.33999740303546e-05,0.00123515819213715,0.00168698376683729,placenta
PC66,0.0141255413437174,-1.54908849333781e-06,-2.13337996967005e-06,-4.84234528307113e-05,8.2925795642459e-05,spleen
PC67,0.0780698143929909,3.8384152902925e-05,-6.68045340162233e-05,0.00119986251627025,0.00259673345328906,muscle of leg
